id,day,temperature,light_intensity,logger
1,1,22.04611111,184,10
2,1,23.1,320,10
3,1,23.1,216,10
4,1,23.38777778,136,10
5,1,23.96611111,9,10
6,1,21.28222222,48,10
7,1,22.04611111,18,10
8,1,21.76,0,10
9,1,20.615,0,10
10,1,20.04277778,0,10
11,1,19.28222222,0,10
12,1,19.28222222,0,10
13,2,18.14,0,10
14,2,17.18888889,0,10
15,2,16.99888889,0,10
16,2,16.61777778,0,10
17,2,11.81888889,0,10
18,2,11.625,0,10
19,2,12.11,0,10
20,2,12.49722222,2,10
21,2,12.78722222,16,10
22,2,15.18722222,152,10
23,2,16.42722222,2688,10
24,2,18.42611111,248,10
25,2,17.28388889,168,10
26,2,17.475,69,10
27,2,17.95,115,10
28,2,17.665,48,10
29,2,17.475,30,10
30,2,17.18888889,16,10
31,2,16.99888889,7,10
32,2,16.71277778,0,10
33,2,15.95111111,0,10
34,2,15.66388889,0,10
35,2,15.76,0,10
36,2,15.66388889,0,10
37,3,14.23,0,10
38,3,15.28222222,0,10
39,3,13.84611111,0,10
40,3,13.07611111,0,10
41,3,13.365,0,10
42,3,13.17277778,0,10
43,3,14.03777778,0,10
44,3,14.23,2,10
45,3,15.28222222,50,10
46,3,17.09388889,152,10
47,3,16.23722222,152,10
48,3,19.18722222,272,10
49,3,19.09222222,184,10
50,3,18.61611111,144,10
51,3,20.805,116,10
52,3,20.13777778,58,10
53,3,21.76,35,10
54,3,21.09111111,19,10
55,3,21.855,9,10
56,3,21.09111111,0,10
57,3,21.56888889,0,10
58,3,20.805,0,10
59,3,19.85277778,0,10
60,3,18.90111111,0,10
61,4,18.80611111,0,10
62,4,17.76,0,10
63,4,17.855,0,10
64,4,17.28388889,0,10
65,4,14.03777778,0,10
66,4,14.42111111,0,10
67,4,15.37777778,0,10
68,4,15.76,1,10
69,4,16.71277778,31,10
70,4,17.475,176,10
71,4,18.80611111,1280,10
72,4,20.23388889,368,10
73,4,20.23388889,272,10
74,4,21.18722222,200,10
75,4,20.90111111,200,10
76,4,21.95111111,192,10
77,4,22.90777778,136,10
78,4,23.58111111,68,10
79,4,23.29222222,11,10
80,4,23.38777778,0,10
81,4,22.23777778,0,10
82,4,22.23777778,0,10
83,4,21.95111111,0,10
84,4,20.99611111,0,10
85,5,20.615,0,10
86,5,20.32888889,0,10
87,5,20.13777778,0,10
88,5,20.04277778,0,10
89,5,19.75777778,0,10
90,5,19.56722222,0,10
91,5,20.23388889,0,10
92,5,20.42388889,0,10
93,5,19.56722222,56,10
94,5,18.61611111,184,10
95,5,18.61611111,200,10
96,5,18.61611111,128,10
97,5,19.09222222,304,10
98,5,20.13777778,240,10
99,5,20.71,288,10
100,5,20.615,208,10
101,5,19.66222222,98,10
102,5,19.09222222,56,10
103,5,18.61611111,1,10
104,5,18.61611111,0,10
105,5,17.855,0,10
106,5,17.665,0,10
107,5,17.475,0,10
108,5,16.99888889,0,10
109,6,16.71277778,0,10
110,6,14.80388889,0,10
111,6,13.94222222,0,10
112,6,12.98,0,10
113,6,11.23611111,0,10
114,6,10.84611111,0,10
115,6,10.65111111,0,10
116,6,10.35722222,0,10
117,6,10.35722222,5,10
118,6,10.35722222,15,10
119,6,10.84611111,55,10
120,6,11.13888889,39,10
121,6,11.04111111,36,10
122,6,10.94388889,38,10
123,6,11.43111111,51,10
124,6,11.52777778,30,10
125,6,11.72222222,20,10
126,6,11.52777778,14,10
127,6,12.59388889,4,10
128,6,13.17277778,0,10
129,6,13.26888889,0,10
130,6,13.365,0,10
131,6,13.65388889,0,10
132,6,13.365,0,10
133,7,13.65388889,0,10
134,7,13.365,0,10
135,7,11.91611111,0,10
136,7,11.72222222,0,10
137,7,11.91611111,0,10
138,7,12.20722222,0,10
139,7,12.40111111,0,10
140,7,12.69,0,10
141,7,12.69,6,10
142,7,12.59388889,12,10
143,7,13.07611111,114,10
144,7,13.75,93,10
145,7,14.13388889,184,10
146,7,14.23,144,10
147,7,14.42111111,111,10
148,7,14.61277778,168,10
149,7,15.09111111,41,10
150,7,15.09111111,55,10
151,7,15.18722222,9,10
152,7,15.18722222,0,10
153,7,15.47277778,0,10
154,7,15.56888889,0,10
155,7,15.66388889,0,10
156,7,15.855,0,10
157,8,15.66388889,0,10
158,8,14.13388889,0,10
159,8,13.84611111,0,10
160,8,13.65388889,0,10
161,8,10.94388889,0,10
162,8,10.94388889,0,10
163,8,11.52777778,0,10
164,8,11.23611111,1,10
165,8,11.43111111,18,10
166,8,12.49722222,512,10
167,8,15.56888889,11776,10
168,8,16.23722222,248,10
169,8,16.80777778,184,10
170,8,18.14,124,10
171,8,19.09222222,112,10
172,8,19.28222222,50,10
173,8,20.04277778,30,10
174,8,20.23388889,17,10
175,8,20.13777778,6,10
176,8,20.42388889,0,10
177,8,20.23388889,0,10
178,8,19.94777778,0,10
179,8,18.90111111,0,10
180,8,18.80611111,0,10
181,9,18.52111111,0,10
182,9,18.99611111,0,10
183,9,18.33111111,0,10
184,9,19.09222222,0,10
185,9,14.80388889,0,10
186,9,15.37777778,0,10
187,9,16.04611111,0,10
188,9,16.42722222,1,10
189,9,16.90277778,22,10
190,9,18.23611111,160,10
191,9,20.23388889,960,10
192,9,21.47277778,256,10
193,9,21.76,176,10
194,9,22.23777778,176,10
195,9,22.14222222,124,10
196,9,21.37777778,78,10
197,9,21.47277778,49,10
198,9,21.09111111,20,10
199,9,20.51888889,7,10
200,9,19.75777778,0,10
201,9,20.23388889,0,10
202,9,20.71,0,10
203,9,20.90111111,0,10
204,9,20.51888889,0,10
205,10,20.615,0,10
206,10,19.75777778,0,10
207,10,20.71,0,10
208,10,20.90111111,0,10
209,10,21.09111111,0,10
210,10,21.37777778,0,10
211,10,20.99611111,0,10
212,10,18.33111111,0,10
213,10,18.80611111,63,10
214,10,18.42611111,82,10
215,10,17.57,69,10
216,10,13.365,10,10
217,10,13.365,16,10
218,10,12.88277778,19,10
219,10,11.625,37,10
220,10,11.625,34,10
221,10,11.81888889,36,10
222,10,11.81888889,15,10
223,10,11.33388889,1,10
224,10,12.01277778,0,10
225,10,12.59388889,0,10
226,10,11.33388889,0,10
227,10,10.35722222,0,10
228,10,9.866111111,0,10
229,11,10.16111111,0,10
230,11,9.571111111,0,10
231,11,9.372777778,0,10
232,11,9.866111111,0,10
233,11,9.372777778,0,10
234,11,9.668888889,0,10
235,11,8.878888889,0,10
236,11,8.581111111,0,10
237,11,7.481111111,17,10
238,11,8.68,152,10
239,11,10.06277778,1728,10
240,11,11.72222222,208,10
