id,abundance,species,section
1,1,Hydrangea arborescens,1
2,0,Phalaris arundinacea,1
3,1,Ipomoea batatas,1
4,22,Caladiumbicolor bicolor,1
5,0,Taxus canadensis,1
6,2,Ulmus crassifolia,1
7,11,Begonia cucullata,1
8,3,Euonymus fortunei,1
9,0,Chelone glabra,1
10,0,Lagerstroemia india,1
11,0,Spiraea japonica,1
12,4,Ophiopogon japonicus,1
13,1,Corpynocarpus laerigatus,1
14,15,Prunus laurocerasus,1
15,6,Hydrangea macrophylla,1
16,0,Rhododendron maximus,1
17,0,Acer palmatum,1
18,5,Hosta plantaginea,1
19,0,Picea pungens,1
20,0,Dracaenta reflexa,1
21,0,Sequoia sempervirens,1
22,0,Prunus serofina,1
23,0,Zelkova serrata,1
24,0,Liriope spicata,1
25,1,Parthenocissus tricuspidata,1
26,0,Hydrangea arborescens,2
27,0,Phalaris arundinacea,2
28,0,Ipomoea batatas,2
29,0,Caladiumbicolor bicolor,2
30,8,Taxus canadensis,2
31,0,Ulmus crassifolia,2
32,0,Begonia cucullata,2
33,6,Euonymus fortunei,2
34,0,Chelone glabra,2
35,0,Lagerstroemia india,2
36,0,Spiraea japonica,2
37,0,Ophiopogon japonicus,2
38,0,Corpynocarpus laerigatus,2
39,0,Prunus laurocerasus,2
40,10,Hydrangea macrophylla,2
41,1,Rhododendron maximus,2
42,3,Acer palmatum,2
43,1,Hosta plantaginea,2
44,1,Picea pungens,2
45,0,Dracaenta reflexa,2
46,3,Sequoia sempervirens,2
47,1,Prunus serofina,2
48,0,Zelkova serrata,2
49,21,Liriope spicata,2
50,0,Parthenocissus tricuspidata,2
51,3,Hydrangea arborescens,3
52,1,Phalaris arundinacea,3
53,3,Ipomoea batatas,3
54,0,Caladiumbicolor bicolor,3
55,0,Taxus canadensis,3
56,1,Ulmus crassifolia,3
57,13,Begonia cucullata,3
58,8,Euonymus fortunei,3
59,1,Chelone glabra,3
60,1,Lagerstroemia india,3
61,7,Spiraea japonica,3
62,0,Ophiopogon japonicus,3
63,0,Corpynocarpus laerigatus,3
64,9,Prunus laurocerasus,3
65,0,Hydrangea macrophylla,3
66,0,Rhododendron maximus,3
67,0,Acer palmatum,3
68,0,Hosta plantaginea,3
69,1,Picea pungens,3
70,15,Dracaenta reflexa,3
71,0,Sequoia sempervirens,3
72,0,Prunus serofina,3
73,1,Zelkova serrata,3
74,5,Liriope spicata,3
75,0,Parthenocissus tricuspidata,3
